scientificName,x,y
Pterois volitans,-83.0025,24.6707167
Pterois volitans,-80.5141,24.9107167
Pterois volitans,-66.62272453,11.95301352
Pterois volitans,-86.6197,16.3095
Pterois volitans,160.62521,-8.885548
Pterois volitans,-64.75597143,10.29925462
Pterois volitans,-80.22358,25.20755
Pterois volitans,76.23300171,9.932999611
Pterois volitans,145.81442,15.25888
Pterois volitans,-63.76893997,11.21637464
Pterois volitans,-177.878722,-29.241472
Pterois volitans,33.8542,27.4089
Pterois volitans,-81.61404,24.49915
Pterois volitans,-175.33,-22.21333333
Pterois volitans,-65.36205411,10.90650192
Pterois volitans,-67.23851144,10.55235284
Pterois volitans,-178.083,-14.25
Pterois volitans,145.5,-14.66666667
Pterois volitans,153.416667,-27.966667
Pterois volitans,72.7053,6.40979
Pterois volitans,-93.83,27.83
Pterois volitans,-178.44255,-30.2316
Pterois volitans,130.968195,-11.051665
Pterois volitans,121.8499985,24.60000038
Pterois volitans,151.25583,-33.84133
Pterois volitans,-82.7738,24.66574
Pterois volitans,-67.23920882,10.55241613
Pterois volitans,-140.05,-8.833
Pterois volitans,134.579444,7.343333
Pterois volitans,-64.60540295,10.29427217
Pterois volitans,-66.04982,10.58022
Pterois volitans,138.852085,-13.60139
Pterois volitans,-67.25162745,10.55441485
Pterois volitans,-66.19741201,11.80417849
Pterois volitans,33.8833,27.7833
Pterois volitans,-67.17041016,10.81172414
Pterois volitans,125,-10
Pterois volitans,127.7655029,26.44169998
Pterois volitans,-82.96955,24.61997
Pterois volitans,-67.18053818,10.55771614
Pterois volitans,113.75,-23.1
Pterois volitans,119.401948,4.717582
Pterois volitans,-80.1131,25.5393167
Pterois volitans,153.566,-28.866
Pterois volitans,-80.270517,25.238133
Pterois volitans,116.4875,-19.624165
Pterois volitans,-67.34161288,10.54443429
Pterois volitans,-68.9451,12.1045
Pterois volitans,-67.25276202,10.55076282
Pterois volitans,128.9691667,27.66805556
Pterois volitans,-81.77725,24.467567
Pterois volitans,93,10
Pterois volitans,117.51778,-19.44361
Pterois volitans,-81.71959,24.49957
Pterois volitans,72.79,11.21
Pterois volitans,-80.322617,25.063967
Pterois volitans,117.949165,-19.695835
Pterois volitans,115.266,-33.8
Pterois volitans,-74.1927777,11.2958888
Pterois volitans,137.251805,-12.400835
Pterois volitans,-87.44,29.95
Pterois volitans,-80.2054,25.21925
Pterois volitans,117.3525,-20.346665
Pterois volitans,131.7401833,2.874483333
